Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;;
Distantziak;Zer distantzia dago kotxez Muskizko udaletxea eta Torres del Ríoren artean?;ad2e2e37880843e68a7f727e66b60307.png;180km;206km;218km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.323698,-3.125903%3B42.552777777,-2.269444444;;
Distantziak;Zer distantzia dago kotxez Uskartze eta Udaletxe zaharraren artean?;1ef934e959d24213b85fbe70a1356ca4.png;165km;136km;183km;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.77444444,-1.09305556%3B42.5535,-2.5846;;
Distantziak;Zer distantzia dago kotxez Artaxoa eta Sartzeren artean?;8fe02b42bcd94f3f921aa853bcf3113d.png;108km;140km;130km;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.591111111,-1.764444444%3B42.836111111,-1.098888888;;
Distantziak;Zer distantzia dago kotxez Berastegiko udaletxea eta Esprontzedaren artean?;3cc442c54f7f485cb017e33a5f6f61f1.png;122km;89km;156km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.12405086,-1.979381277%3B42.598055555,-2.3025;;
Distantziak;Zer distantzia dago kotxez Murillo el Cuende eta Erandioko udaletxearen artean?;0e9ed08697ab40edb58eae6763ffdef5.png;214km;264km;275km;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.397777777,-1.629722222%3B43.307458,-2.946418;;
Distantziak;Zer distantzia dago kotxez Eskoriatzako udaletxea eta Milagroren artean?;03ddb0d5643c41088dae12f4c5b6169f.png;190km;158km;223km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.017283292,-2.52667252%3B42.2417429,-1.7627813;;
Distantziak;Zer distantzia dago kotxez Ezkio-Itsasoko udaletxea eta Arroitzren artean?;117e168ec6574e69add18628256c2a52.png;134km;108km;148km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.066476,-2.277674%3B42.5888239,-2.091308;;
Distantziak;Zer distantzia dago kotxez Iurretako udaletxea eta Kanboko herriko etxearen artean?;d09821293db94e8f8b9396abcfad7a43.png;132km;167km;159km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.176426,-2.632118%3B43.36116667,-1.39935833;;
Distantziak;Zer distantzia dago kotxez Artzentalesko udaletxea eta Getariako udaletxearen artean?;85e79c62316345609080c68a77f27011.png;117km;135km;147km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.251201,-3.221657%3B43.303197784,-2.204408556;;
Distantziak;Zer distantzia dago kotxez Lezamako udaletxea eta Aulestiko udaletxearen artean?;6ab339d854a74dcd8123ceaacd76d391.png;48km;54km;56km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.274129,-2.832831%3B43.297021,-2.562759;;
Distantziak;Zer distantzia dago kotxez Traibuenas eta Mutrikuren artean?;6a1d3efd5efa4c39bc1a2975ba5825e9.png;177km;208km;227km;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.368055555,-1.628055555%3B43.307222,-2.385;;
Distantziak;Zer distantzia dago kotxez Ubideko udaletxea eta Etxebarriko udaletxearen artean?;c0f9ff7fb0954762b034ec1d45015972.png;39km;27km;48km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.026832,-2.688209%3B43.24681,-2.892483;;
Distantziak;Zer distantzia dago kotxez Goizueta eta Ibarrangeluko udaletxearen artean?;b07acf62481241d0a2fb449a2aaf867f.png;129km;161km;154km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.171111111,-1.864166666%3B43.390215,-2.633802;;
Distantziak;Zer distantzia dago kotxez Cabanillas eta Gatikako udaletxearen artean?;1b43e0d1e34645239dee7fd4e7960e91.png;261km;310km;293km;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.031388888,-1.526944444%3B43.353689,-2.883977;;
Distantziak;Zer distantzia dago kotxez Leitza eta Iruraiz-Gaunako udaletxearen artean?;dbedf1fcb7e2443fb71c259db632cc29.png;91km;105km;111km;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.078888888,-1.914722222%3B42.822072,-2.495043;;
