Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;;
Iraupenak;Zenbat denbora behar da Sunbillatik Urduñako udaletxeara kotxez joateko?;6621be605c2c4276a82f90f8a4df5682.png;1 ordu eta 57 minutu;2 ordu eta 12 minutu;2 ordu eta 22 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.164444444,-1.668333333%3B42.995034,-3.009028;;
Iraupenak;Zenbat denbora behar da Mendaroko udaletxeatik Itsasondoko udaletxeara kotxez joateko?;99e3e07d91a1420f82ef61dd7da5079c.png;37 minutu;46 minutu;44 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.252568,-2.385458%3B43.067333,-2.165108;;
Iraupenak;Zenbat denbora behar da Azkoientik Azkoitiko udaletxeara kotxez joateko?;2cb75b9920724aa3badc8dde6832596c.png;1 ordu eta 49 minutu;1 ordu eta 25 minutu;2 ordu eta 17 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.333055555,-1.8%3B43.177667922,-2.312450556;;
Iraupenak;Zenbat denbora behar da Burgiko udaletxeatik Abadiñoko udaletxeara kotxez joateko?;1c0ac3779f1643e0931baea43117cd5d.png;2 ordu eta 20 minutu;2 ordu eta 58 minutu;2 ordu eta 48 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.72051667,-1.00478333%3B43.152657,-2.607198;;
Iraupenak;Zenbat denbora behar da Baionako Herriko Etxeatik Mendabiara kotxez joateko?;67e1e1e599b64fe694913398f0c24340.png;2 ordu eta 15 minutu;1 ordu eta 48 minutu;2 ordu eta 38 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.49333333,-1.475%3B42.4443286,-2.200421;;
Iraupenak;Zenbat denbora behar da Abaltzisketako udaletxeatik Arguedasra kotxez joateko?;f3898153bd4842b98794d91a11ae831a.png;1 ordu eta 56 minutu;2 ordu eta 13 minutu;2 ordu eta 9 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.048481,-2.105905%3B42.176944444,-1.598333333;;
Iraupenak;Zenbat denbora behar da Espartzatik Andosillara kotxez joateko?;f255b958a50b4efd9ba77b5788ce2f23.png;1 ordu eta 41 minutu;1 ordu eta 19 minutu;2 ordu eta 7 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.855,-1.098611111%3B42.376944444,-1.941944444;;
Iraupenak;Zenbat denbora behar da Udaletxe Zaharratik Ataungo udaletxeara kotxez joateko?;f8c76b39a3c04842a237dffa7889253e.png;34 minutu;37 minutu;39 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=42.8896,-2.3174%3B43.006943,-2.17688;;
Iraupenak;Zenbat denbora behar da Artzentalesko udaletxeatik Hondarribiko udaletxeara kotxez joateko?;36da1d57591b4d3e90ffcc028cf0c06c.png;2 ordu eta 6 minutu;2 ordu eta 26 minutu;2 ordu eta 32 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.251201,-3.221657%3B43.362436696,-1.791536463;;
Iraupenak;Zenbat denbora behar da Zeanuriko udaletxeatik Espartzara kotxez joateko?;30c40d4d1b8a4f02a66d35b8f6945aab.png;2 ordu eta 16 minutu;2 ordu eta 31 minutu;2 ordu eta 55 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.099722,-2.752184%3B42.855,-1.098611111;;
Iraupenak;Zenbat denbora behar da Asteasuko udaletxeatik Bastidako udaletxeara kotxez joateko?;8e56a39bfe994fd9b9a807c6e5467122.png;1 ordu eta 33 minutu;1 ordu eta 56 minutu;1 ordu eta 52 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.193628,-2.097769%3B42.590279,-2.793302;;
Iraupenak;Zenbat denbora behar da Errezilgo udaletxeatik Erronkarira kotxez joateko?;a9971cc64e4b4ecb8aa59aec1b98ed2a.png;2 ordu eta 18 minutu;2 ordu eta 37 minutu;2 ordu eta 49 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.164731,-2.174701%3B42.8075,-0.955833333;;
Iraupenak;Zenbat denbora behar da Karrantza Haranako udaletxeatik Azagrara kotxez joateko?;e535a5344b444bf3917f6bc5088c152f.png;2 ordu eta 53 minutu;2 ordu eta 16 minutu;3 ordu eta 24 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.217647,-3.358361%3B42.313888888,-1.897222222;;
Iraupenak;Zenbat denbora behar da Olaberriko udaletxeatik Iruñeko udaletxeara kotxez joateko?;ccbfafed8ebd4b8c8960333b67a1ba86.png;1 ordu eta 0 minutu;1 ordu eta 10 minutu;1 ordu eta 16 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.059331,-2.174515%3B42.8183,-1.6442;;
Iraupenak;Zenbat denbora behar da Donostiako udaletxeatik Monteagudora kotxez joateko?;f7a747eae1524e878dd5b9a03e6945ad.png;2 ordu eta 1 minutu;1 ordu eta 45 minutu;2 ordu eta 15 minutu;OpenStreetMap;https://www.openstreetmap.org/directions?route=43.3215,-1.9858%3B41.963888888,-1.690277777;;
